incident_id,state
129061,43
94152,35
42529,20
61079,4
98478,17
123974,43
149126,13
135703,13
136386,13
196632,35
114013,5
207198,38
26718,9
89888,4
145124,22
137446,24
235756,13
35562,33
146397,1
75482,32
60800,38
92777,4
163272,10
100702,18
2824,8
132623,14
135990,17
27149,21
145893,21
110603,8
79174,30
46046,4
199041,4
202614,20
101672,49
11412,32
179915,43
221461,13
197558,10
130589,32
132989,30
168410,49
136919,20
94782,35
87573,40
167100,0
34809,4
22496,9
170872,6
221587,35
154010,20
102275,4
134122,19
89920,33
100222,35
219367,10
65852,13
125108,9
143995,10
58525,20
141108,23
221642,47
89521,2
2420,14
17527,18
68780,38
182030,13
18261,36
208631,4
239231,25
121198,47
17002,4
63132,32
34980,32
159698,33
170297,37
80902,43
221585,47
162292,4
86864,40
154742,25
193099,18
181798,46
146431,43
143211,15
29351,9
217747,6
209762,13
172775,8
92741,46
89663,18
139306,38
238255,8
232063,38
191877,30
56064,0
163985,22
65040,7
37082,43
100746,0
50793,1
189754,13
25270,0
148024,35
37358,13
89797,46
83410,0
24691,9
206855,9
44995,20
39987,25
177159,18
184058,43
63134,30
6823,47
239471,13
199591,10
228875,13
194013,18
111046,32
150238,4
34811,18
121621,15
204015,13
116354,36
86286,30
190361,28
49572,28
71360,43
22362,42
170841,13
80412,24
199762,9
174153,0
26147,38
214027,38
59250,4
190081,33
220486,14
90532,23
214971,42
53892,4
45869,30
190918,4
23265,42
92434,13
111997,16
176748,3
202457,4
105386,42
217169,0
65276,1
172343,13
174463,38
9529,18
116575,17
112569,47
44850,27
60856,35
211240,22
184290,8
133462,21
82749,18
177634,42
106497,42
103953,13
126800,42
92289,30
4098,10
4359,13
163366,0
63533,33
64926,33
220686,13
102849,33
239040,13
204748,43
14117,25
82509,13
221203,37
233151,20
209095,4
18709,20
230269,25
123707,35
20134,36
96122,13
57307,18
38502,32
77833,43
87271,32
37904,38
171158,25
181087,46
71261,13
175381,46
204238,38
121711,25
113217,38
152586,9
131883,33
42069,46
25767,3
228152,9
41255,40
158883,21
237234,20
71906,25
107634,9
48157,23
17201,47
175098,9
212983,18
188955,33
210932,13
147499,6
150477,4
178662,5
78472,10
142302,4
233056,4
203110,9
103767,30
187889,14
396,43
89875,43
11777,23
40955,18
72896,14
29165,18
2385,0
147005,32
24143,4
236692,43
55221,43
145074,33
165319,32
28655,32
89104,42
98890,33
162426,33
226288,0
211773,42
87160,4
61528,33
163954,18
122289,5
163579,35
142504,30
189003,43
162101,13
4548,35
120649,13
48671,32
135013,43
79709,30
190721,3
238242,13
200491,37
51909,10
195855,17
98642,36
199377,2
134878,4
88550,49
146307,32
207415,43
75693,32
120508,46
222311,18
155234,14
140432,21
101963,37
186585,17
147535,45
51746,7
93832,4
96258,13
4269,21
78872,38
37477,25
41980,35
117233,6
222826,13
8584,9
122800,10
107396,15
26214,22
53473,33
28404,17
223766,32
221277,13
93273,8
49892,8
118925,4
104368,8
14354,35
89341,38
106830,9
45806,4
132684,10
15430,3
112797,47
208853,4
231995,0
111366,9
218855,4
65124,43
231531,37
142052,23
55795,31
31276,33
7979,25
121554,17
41375,33
194012,10
56985,40
13577,4
65012,18
165788,9
191786,35
170945,30
129922,9
72319,20
198984,20
167743,21
188204,29
2202,0
163073,47
73982,10
171239,18
96572,9
83971,13
78282,17
102533,37
137551,4
148412,0
68257,4
105523,4
939,49
24849,33
74491,9
201935,43
8427,40
141936,20
154669,2
236517,18
85478,13
75449,4
178413,32
59772,42
115142,21
215590,32
153860,23
216050,35
63287,32
141054,49
160793,27
154110,24
104487,13
93814,13
228761,4
164942,4
156987,14
113185,3
25856,32
75966,35
85456,40
200361,14
196333,4
118864,32
140227,0
62059,33
223044,25
130809,38
25659,43
194411,4
24846,42
40656,4
42230,40
107567,25
79678,10
40707,14
22967,25
17147,0
111296,21
62005,3
92551,42
115754,0
132039,0
18012,20
38285,35
145298,25
44170,4
20617,8
105930,21
19809,5
223208,35
199390,46
191907,3
143844,17
196830,4
81560,13
124554,1
127723,42
106162,13
47728,10
93972,4
113135,32
82259,21
122558,23
113847,46
121723,20
183767,8
119949,32
56665,35
53057,33
228388,20
214647,43
31469,36
166723,32
184904,25
54191,35
164580,5
80964,21
10151,15
186382,4
178975,9
22771,14
198985,32
95187,17
28839,35
116412,19
643,46
9454,25
222583,13
38882,5
217862,13
205278,10
95823,37
91069,18
149271,40
28862,10
191903,17
216672,14
2462,13
5555,4
34160,27
209554,32
191898,21
27623,4
109601,43
152650,49
197344,42
182531,38
191304,42
128711,46
205145,13
136551,36
220158,32
38343,7
107120,47
80084,32
39056,35
39198,10
174870,25
26373,22
164549,6
102260,43
47702,42
102070,9
125004,4
195948,22
160924,4
190148,9
54665,24
64083,30
140082,5
20234,46
187435,35
174073,0
46601,9
173739,38
113080,42
201146,33
58378,36
